Hotel_Name,Hotel_Adress,Distance_to_Center,Number_of_Reviews,Customer_Rating,Number_of_Stars,Price,Free_Cancellation,Accommodation_Type
"Caresse, a Luxury Collection Resort & Spa, Bodrum","Bitez, Bodrum, Muğla -",Merkeze 3.9 km,16,9.4,5,346.853 TL,No,Breakfast Included
Lujo Hotel Bodrum,"Bodrum, Muğla -",Unknown,29,9.1,5,344.400 TL,No,Breakfast Included
Vogue Hotel Supreme Bodrum,"Torba, Bodrum, Muğla -",Merkeze 6.5 km,81,8.2,5,338.424 TL,No,Ultra All Inclusive
Titanic Luxury Collection Bodrum,"Bodrum, Muğla -",Unknown,55,9.2,5,278.190 TL,No,All Inclusive
Cragus Inn Fethiye,"Fethiye, Muğla -",Unknown,23,8.2,0,252.923 TL,No,Standard
Yalıkavak Marina Beach Hotel,"Yalıkavak, Bodrum, Muğla -",Unknown,36,8.6,5,243.285 TL,No,Breakfast Included
Allium Bodrum Resort & Spa,"Bodrum, Muğla -",Unknown,19,9.4,3,241.497 TL,No,Breakfast Included
Mett Hotel & Beach Resort Bodrum,"Bodrum, Muğla -",Merkeze 2 km,29,9.8,5,235.115 TL,No,Breakfast Included
G Beyond Apartments & Villas,"Bodrum, Muğla -",Unknown,32,9.8,5,227.595 TL,No,Breakfast Included
Baia Bodrum,"Gündoğan, Bodrum, Muğla -",Unknown,31,8.6,5,208.413 TL,No,All Inclusive
Xanadu Island,"Akyarlar, Bodrum, Muğla -",Unknown,31,8.5,5,192.000 TL,No,Ultra All Inclusive
Liberty Lykia - Adults Only,"Ölüdeniz, Fethiye, Muğla -",Unknown,30,8.9,5,181.703 TL,No,All Inclusive
Aydeniz Otel,"Mesudiye, Datça, Muğla -",Unknown,6,6.9,0,180.000 TL,No,Breakfast Included
Seaview Faralya Butik Hotel,"Faralya, Fethiye, Muğla -",Unknown,209,9.7,0,177.811 TL,No,Breakfast Included
Arts Hotel Bodrum Yalıkavak,"Yalıkavak, Bodrum, Muğla -",Unknown,13,6.3,5,171.032 TL,No,Breakfast Included
Selectum Colours Bodrum,"Gümbet, Bodrum, Muğla -",Merkeze 3.4 km,69,8.9,5,163.873 TL,No,All Inclusive
Highlight Hotel,"Yalıkavak, Bodrum, Muğla -",Unknown,32,8.2,4,163.274 TL,No,Breakfast Included
Tropical Beach Hotel,"Siteler, Marmaris, Muğla -",Merkeze 3.6 km,20,8.7,4,161.765 TL,No,All Inclusive
Hilton Dalaman Sarigerme Resort & Spa,"Sarıgerme, Ortaca, Muğla -",Unknown,44,8.4,5,159.600 TL,No,Ultra All Inclusive
Kaya Palazzo Resort & Residences Le Chic Bodrum,"Gümbet, Bodrum, Muğla -",Merkeze 3.4 km,23,9.2,5,156.908 TL,No,Breakfast Included
Mirada Exclusive Bodrum,"Gümbet, Bodrum, Muğla -",Merkeze 3.6 km,24,8.9,5,156.000 TL,No,Ultra All Inclusive
TUI BLUE Grand Azur,"Marmaris, Muğla -",Merkeze 2.7 km,22,8.9,5,150.412 TL,No,All Inclusive
Cape Bodrum Beach Luxury Resort,"Gündoğan, Bodrum, Muğla -",Unknown,22,8.2,4,149.961 TL,No,Breakfast Included
TUI BLUE Seno,"Sarıgerme, Ortaca, Muğla -",Unknown,20,8.9,5,147.170 TL,No,All Inclusive
Le Meridien Bodrum Beach Resort,"Bodrum, Muğla -",Unknown,19,8.8,5,144.540 TL,No,Breakfast Included
Fabay Liberty,"Çiftlik, Fethiye, Muğla -",Merkeze 6.4 km,308,9.4,5,141.960 TL,No,Ultra All Inclusive
Prive Hotel Bodrum,"Eskiçeşme, Bodrum, Muğla -",Merkeze 1.6 km,19,9.5,5,140.563 TL,No,All Inclusive
Hotel Caktug,"Dalaman Merkez, Dalaman, Muğla -",Merkeze 4.7 km,15,2.5,3,11.491 TL,No,Standard
Hotel Nil,"Akyaka, Ula, Muğla -",Unknown,8,4.4,0,20.375 TL,No,Breakfast Included
Ideal Pension,"Karagözler, Fethiye, Muğla -",Merkeze 3.1 km,27,5.0,5,16.879 TL,No,Breakfast Included
Grand Faros Hotel,"Armutalan, Marmaris, Muğla -",Merkeze 0.1 km,18,5.2,4,25.921 TL,No,Breakfast Included
Golden Star Hotel,"Marmaris, Muğla -",Merkeze 1.6 km,129,5.3,3,18.420 TL,No,Breakfast Included
Gloria Tibi Gümbet,"Bitez, Bodrum, Muğla -",Merkeze 3.3 km,77,5.5,3,12.000 TL,No,Standard
Mavruka Hotel,"Ölüdeniz, Fethiye, Muğla -",Unknown,10,5.5,4,32.408 TL,Yes,Breakfast Included
Afytos Bodrum,"Bodrum, Muğla -",Merkeze 3.2 km,19,5.8,4,29.160 TL,No,All Inclusive
Pineta Club Hotel,"Siteler, Marmaris, Muğla -",Merkeze 2.9 km,230,6.0,4,23.520 TL,No,All Inclusive
Aloha Suites Mediterranean Houses,"Siteler, Marmaris, Muğla -",Merkeze 2 km,1,6.0,3,25.816 TL,No,Standard
Ayyıldızlar Otel,"Kadıköy, İstanbul -",Merkeze 4.4 km,117,5.3,3,6.772 TL,No,Standard
Monarch Hotel İstanbul,"Fatih, İstanbul -",Merkeze 1 km,39,5.7,3,10.071 TL,No,Standard
Best Pasaport Pier Otel Kadıköy,"Moda, Kadıköy, İstanbul -",Merkeze 5 km,196,6.3,4,8.030 TL,No,Standard
Green Garden İstanbul Hotel,"Bahçelievler, İstanbul -",Unknown,54,6.4,3,10.169 TL,No,Standard
Elit Suites,"Kurtköy, Pendik (İstanbul), İstanbul -",Unknown,211,6.4,5,10.200 TL,No,Standard
The Hera Premium Hotels,"Maltepe, İstanbul -",Unknown,160,6.5,4,9.600 TL,No,Standard
Valeria Deluxe Sultanahmet Hotel,"Beyazıt, Fatih, İstanbul -",Merkeze 0.9 km,28,6.6,3,10.238 TL,No,Standard
Magnificent Hotel,"Sultanahmet, Fatih, İstanbul -",Merkeze 1.3 km,35,6.8,3,10.248 TL,No,Standard
My Home Sultanahmet,"Sultanahmet, Fatih, İstanbul -",Merkeze 1 km,32,7.0,3,9.193 TL,No,Breakfast Included
Milano Hotel & Spa Sultanahmet,"Kumkapı, Fatih, İstanbul -",Merkeze 1.1 km,61,7.1,3,9.459 TL,No,Breakfast Included
Kadıköy Arya Hotel,"Kadıköy, İstanbul -",Merkeze 4.5 km,105,7.2,3,10.246 TL,No,Breakfast Included
Air Boss Hotel İstanbul,"Sefaköy, Küçükçekmece, İstanbul -",Unknown,131,7.4,3,10.651 TL,No,Breakfast Included
Dedepark,"Tepebaşı, Eskişehir -",Merkeze 1.8 km,232,7.8,4,42.352 TL,No,Breakfast Included
Questa Thermal & Spa Hotel Eskişehir,"Odunpazarı, Eskişehir -",Merkeze 4.6 km,164,9.5,3,27.000 TL,No,Breakfast Included
Ramada Plaza by Wyndham Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.4 km,320,8.5,4,24.524 TL,No,Standard
The Merlot Hotel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 2 km,426,8.7,4,22.548 TL,No,Standard
Park Dedeman Eskişehir,"Odunpazarı, Eskişehir -",Merkeze 2.6 km,670,9.1,5,21.870 TL,No,Standard
İbis Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.8 km,387,8.5,3,20.899 TL,No,Standard
Sam Royal Hotel,"Tepebaşı, Eskişehir -",Merkeze 1.8 km,120,8.1,3,20.340 TL,No,Standard
Anemon Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 3.7 km,290,7.0,5,20.328 TL,No,Standard
Smart by Dedeman Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.6 km,93,9.1,3,20.120 TL,No,Standard
Madeen City Hotel,"Tepebaşı, Eskişehir -",Merkeze 1 km,271,8.7,3,19.956 TL,No,Standard
Arwen Premium Residence,"Tepebaşı, Eskişehir -",Merkeze 1.3 km,123,8.5,4,17.700 TL,No,Standard
Vendome Hotel,"İstiklal, Odunpazarı, Eskişehir -",Merkeze 0.5 km,56,8.3,3,16.501 TL,No,Standard
Eskişehir Yuva Otel,"Arifiye, Odunpazarı, Eskişehir -",Merkeze 0.4 km,133,8.9,0,16.200 TL,No,Standard
SRF Hotel,"Odunpazarı, Eskişehir -",Merkeze 0.6 km,196,8.0,3,15.600 TL,No,Standard
Art Suit,"Odunpazarı, Eskişehir -",Merkeze 0.5 km,45,9.4,0,15.061 TL,No,Standard
Sör Otel,"Tepebaşı, Eskişehir -",Merkeze 1.7 km,98,8.0,3,14.829 TL,No,Breakfast Included
Tymbris Hotel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.7 km,336,8.4,3,14.388 TL,No,Breakfast Included
The Breeze Hotel,"Odunpazarı, Eskişehir -",Merkeze 0.2 km,148,7.9,3,14.100 TL,No,Standard
Deeps Hostel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.8 km,170,7.8,0,12.650 TL,No,Standard
Grand Vaves Hotel,"Ortahisar, Trabzon -",Merkeze 2.6 km,49,9.3,4,187.099 TL,Yes,Half board
Zorlu Grand,"Ortahisar, Trabzon -",Merkeze 0.2 km,30,9.0,5,38.202 TL,No,Standard
